year	stem	our_problems	our_answers	our_sections	upstream_pdf	upstream_problem_est	upstream_sections
1977	shanghai_liberal	8	0	解答题	Sources/AI/gaokaomath/普通高考/1977/1977上海文.pdf	13	
1977	shanghai_science	10	0	解答题,附加题	Sources/AI/gaokaomath/普通高考/1977/1977上海理.pdf	20	
1985	shanghai_liberal	21	15	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1985/1985上海文.pdf	0	
1985	shanghai_science	23	15	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1985/1985上海理.pdf	0	
1986	shanghai_liberal	35	30	单选题,填空题,解答题	Sources/AI/gaokaomath/普通高考/1986/1986上海文.pdf	0	
1986	shanghai_science	35	30	单选题,填空题,解答题	Sources/AI/gaokaomath/普通高考/1986/1986上海理.pdf	0	
1987	shanghai	29	24	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1987/1987上海.pdf	0	
1988	shanghai	28	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1988/1988上海.pdf	0	
1989	shanghai	28	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1989/1989上海.pdf	0	
1990	shanghai	27	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1990/1990上海.pdf	30	
1991	shanghai	27	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1991/1991上海.pdf	0	
1992	shanghai	26	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1992/1992上海.pdf	0	
1993	shanghai	26	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1993/1993上海.pdf	0	
1994	shanghai	26	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1994/1994上海.pdf	0	
1994	shanghai_liberal	26	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1994/1994上海试点教材文.pdf	0	
1994	shanghai_science	26	20	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1994/1994上海试点教材理.pdf	0	
1995	shanghai_liberal	30	23	单选题,填空题,选做题：填空题,选做题：解答题,解答题	Sources/AI/gaokaomath/普通高考/1995/1995上海文.pdf	0	
1995	shanghai_science	30	23	单选题,填空题,选做题：填空题,选做题：解答题,解答题	Sources/AI/gaokaomath/普通高考/1995/1995上海理.pdf	0	
1996	shanghai_liberal	29	22	单选题,填空题,选做题：填空题,解答题,选做题：解答题,解答题	Sources/AI/gaokaomath/普通高考/1996/1996上海文.pdf	0	
1996	shanghai_science	29	22	单选题,填空题,选做题：填空题,解答题,选做题：解答题,解答题	Sources/AI/gaokaomath/普通高考/1996/1996上海理.pdf	0	
1997	shanghai_liberal	27	20	单选题,填空题,选做题：填空题,解答题,选做题：解答题,解答题,解答题	Sources/AI/gaokaomath/普通高考/1997/1997上海文.pdf	0	
1997	shanghai_science	27	20	单选题,填空题,选做题：填空题,解答题,选做题：解答题,解答题	Sources/AI/gaokaomath/普通高考/1997/1997上海理.pdf	0	
1998	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1998/1998上海文.pdf	0	
1998	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1998/1998上海理.pdf	0	
1999	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1999/1999上海文.pdf	0	
1999	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/1999/1999上海理.pdf	0	
2000	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2000/2000上海文.pdf	32	填空题,解答题,选择题
2000	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2000/2000上海理.pdf	32	填空题,解答题,选择题
2000	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2000/2000春季上海.pdf	0	
2001	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2001/2001上海文.pdf	35	填空题,解答题,选择题
2001	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2001/2001上海理.pdf	32	填空题,解答题,选择题
2001	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2001/2001春季上海.pdf	34	填空题,解答题,选择题
2002	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2002/2002上海文.pdf	33	填空题,解答题,选择题
2002	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2002/2002上海理.pdf	33	填空题,解答题,选择题
2002	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2002/2002春季上海.pdf	32	填空题,解答题,选择题
2003	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2003/2003上海文.pdf	31	填空题,解答题,选择题
2003	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2003/2003上海理.pdf	33	填空题,解答题,选择题
2003	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2003/2003春季上海.pdf	32	填空题,解答题,选择题
2004	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2004/2004上海文.pdf	31	填空题,解答题,选择题
2004	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2004/2004上海理.pdf	31	填空题,解答题,选择题
2004	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2004/2004春季上海.pdf	32	填空题,解答题,选择题
2005	shanghai_liberal	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2005/2005上海文.pdf	32	填空题,解答题,选择题
2005	shanghai_science	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/普通高考/2005/2005上海理.pdf	32	填空题,解答题,选择题
2005	shanghai_spring	22	16	填空题,单选题,解答题	Sources/AI/gaokaomath/春季高考/2005/2005春季上海.pdf	31	填空题,解答题,选择题
