year	stem	qidx	primary_unit	theme	module	matched_units	competencies	level	note
1977	shanghai_liberal	1	复数	几何与代数	必修	复数	数学运算;数学抽象	水平1-2	
1977	shanghai_liberal	2	三角函数	函数	必修	三角函数;立体几何初步	数学运算;直观想象	水平1-2	
1977	shanghai_liberal	3	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数;复数	数学运算;逻辑推理;数学抽象	水平1-2	
1977	shanghai_liberal	4	三角函数	函数	必修	三角函数;复数	数学运算;直观想象;数学抽象	水平1-2	
1977	shanghai_liberal	5	立体几何初步	几何与代数	必修	立体几何初步	直观想象;数学运算	水平1-2	
1977	shanghai_liberal	6	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1977	shanghai_liberal	7	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1977	shanghai_liberal	8	数学建模与应用	数学建模活动与数学探究活动	必修	数学建模与应用	数学建模;数据分析;数学运算	水平1-2	
1977	shanghai_science	1	三角函数	函数	必修	三角函数;幂函数、指数函数、对数函数;复数	数学运算;直观想象;数学抽象	水平1-2	
1977	shanghai_science	2	三角函数	函数	必修	三角函数;立体几何初步	数学运算;直观想象	水平1-2	
1977	shanghai_science	3	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1977	shanghai_science	4	复数	几何与代数	必修	复数;立体几何初步;空间向量与立体几何	数学运算;数学抽象;直观想象	水平1-2	
1977	shanghai_science	5	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数	数学运算;逻辑推理;数学抽象	水平1-2	
1977	shanghai_science	6	直线与圆	几何与代数	选择性必修	直线与圆	直观想象;数学运算	水平2-3	
1977	shanghai_science	7	相等关系与不等关系	预备知识	必修	相等关系与不等关系	数学运算;逻辑推理	水平1-2	
1977	shanghai_science	8	相等关系与不等关系	预备知识	必修	相等关系与不等关系;幂函数、指数函数、对数函数;复数	数学运算;逻辑推理;数学抽象	水平1-2	
1977	shanghai_science	9	相等关系与不等关系	预备知识	必修	相等关系与不等关系;三角函数;直线与圆	数学运算;逻辑推理;直观想象	水平1-2	
